Predicted function of gene	No. of genes
Putative Phosphoinositol 3-phosphate binding protein1	1
Putative Phosphoribulokinase / Uridine kinase family	1
Putative Pleckstrin homology domain-containingfamily G members 1	1
Putative Plexin cytoplasmic RasGAP domain - signalP detected	1
Putative Possible plasma membrane-binding motif in junctophilins	1
Putative pre-mRNA processing factor 3	1
Putative Profilin	1
Putative Prohibitin family	1
Putative Protein kinase C conserved region 1	1
Putative Protein of unknown function	1
Putative Protein similar to and including lifeguard	1
Putative protein tyrosine phosphatase type IVA family	1
Putative protein tyrosine phosphatase-like domainof myotubularin related phosphoinositide phosphatases 6	1
Putative Protein-interacting Bro1-like domainof RhoA-binding protein Rhophilin and related domains	1
Putative protein-tyrosine phosphatase mitochondrial 1	1
Putative PR-SET domain found in PR domain zincfinger protein 1	1
Putative Pseudokinase domain of Scy1-like protein	1
Putative Pumilio-family RNA binding domain	1
Putative Purine nucleoside phosphorylase	1
Putative Putative nucleic acid-binding region	1
Putative Pyruvate kinase	1
Putative R3H domain of encore-like and DIP1-likeprotein	1
Putative Ras-associating	1
putative receptor guanylate cyclase gyc76c-like stephensi - signalP detected	1
Putative Regulator of G protein signalling domain	1
Putative Rem	1
Putative retinal-specific rim ABC transporter	1
Putative retinol dehydrogenase	1
Putative retinol dehydrogenase - signalP detected	1
Putative rho guanine nucleotide exchangefactor	1
Putative RhoGAP_ARHGAP21: RhoGAP	1
Putative RhoGAP_KIAA1688: GTPase-activator protein	1
Putative RhoGAP_nadrin: RhoGAP	1
Putative Rho-Interacting Protein Pleckstrin homology	1
Putative RING-CH finger	1
Putative RNA polymerase II transcription elongation factor	1
Putative RNA recognition motif	1
Putative RNA recognition motif 1 in CUGBPElav-like family member CELF-1	1
Putative RNA recognition motif 1 in heterogeneousnuclear ribonucleoprotein M	1
Putative RNA recognition motif 1 in TAR DNA-bindingprotein 43	1
Putative RNA recognition motif 2 in CUGBP Elav-likefamily member CELF-3	1
Putative RNA recognition motif 2 in serine/arginine-richsplicing factor 4	1
Putative RNA recognition motif 3 in heterogeneousnuclear ribonucleoprotein hnRNP H protein family	1
Putative RNA recognition motif 3 in heterogeneousnuclear ribonucleoprotein R	1
Putative RNA recognition motif in	1
Putative RNA recognition motif in U2 small nuclearribonucleoprotein auxiliary factor 35 kDa subunit-related protein 1	1
Putative RNA recognition motif in vertebrate RNAbinding protein fox-1 homologs and similar protein	1
Putative RNA recognition motif of pre-mRNA cleavagefactor Im 68 kDa subunit	1
Putative RUN domain	1
Putative S phase cyclin A-associated protein in theendoplasmic reticulum	1
Putative SAC3/GANP family	1
Putative S-adenosylmethionine synthetase	1
Putative SAM domain of SARM1-like	1
Putative SAM domain of USH1G_HARP family	1
Putative SCA7	1
Putative Scavenger mRNA decapping enzyme C-term binding	1
Putative Scavenger receptor Cys-rich - signalP detected	1
Putative Second immunoglobulin - signalP detected	1
Putative Sesquipedalian family Pleckstrin homology	1
Putative SET domain	1
Putative Seven in absentia protein family	1
Putative sex-lethal family splicing factor	1
Putative SH3-binding	1
Putative Single-stranded DNA binding protein	1
Putative Sister chromatid cohesion C-terminus	1
Putative SNARE domain of STXBP5	1
Putative SNARE motif of syntaxin 6	1
Putative sodium/hydrogenexchanger 3	1
putative soluble guanylate cyclase 88e isoform x1 stephensi	1
putative speckle poz protein	1
Putative Spondin_N - signalP detected	1
Putative Sprouty-related EVH1 domain-containing-likeprotein EVH1 domain	1
Putative SPRY domain in heterogeneous nuclear ribonucleoproteinU-like	1
putative spry domain in the f-box family fbxo45	1
Putative Spt20 family	1
Putative Src homology 3 domain of Ubiquitin-associatedand SH3 domain-containing protein	1
putative src similarity 2	1
Putative SRF-like/Type I subfamily of MADS	1
Putative Stromal membrane-associated protein	1
Putative sulfite oxidase mitochondrial  - signalP detected	1
putative swi/snf-like complex subunit	1
Putative Synaphin protein	1
Putative Syntaxin	1
Putative Talin	1
Putative TBP-like factors	1
Putative Tensin Phosphotyrosine-binding	1
Putative Tetraspanin family	1
Putative Tetraspanin family - signalP detected	1
Putative The catalytic domain of the GiantSerine/Threonine Kinases	1
Putative The ferredoxin-reductase	1
Putative The first LIM domain of protein PINCH	1
Putative The first LIM domain of the paxillinlike protein family	1
Putative The ligand binding domain of heptocytenuclear factor 4	1
Putative The ligand binding domain of REV-ERBreceptors	1
Putative The ligand binding domain of the retinoidX receptor and Ultraspiracle	1
Putative The PET domain of protein LIMPETinand LIM-9	1
Putative The third LIM domain of an Enigmasubfamily with unknown function	1
Putative Third	1
Putative Third Src Homology 3 domain	1
Putative This conserved domainfamily includes a large number of catalytically inactive chitinase-like lectins	1
Putative This domain is found in the protein Piwi andits relatives	1
Putative TMEM214	1
Putative Toll - interleukin 1 - resistance	1
Putative Transmembrane protein 138	1
Putative Tropomodulin	1
Putative TRX domain - signalP detected	1
Putative Trypsin-like serine protease - signalP detected	1
Putative Type I inositol 3	1
Putative Type I inositol polyphosphate 5-phosphataseI	1
Putative Ubinuclein conserved middle domain	1
Putative Ubiquitin carboxyl-terminal hydrolase	1
Putative ubiquitin-like	1
putative ubiquitin-protein ligase/hyperplastic discs proteinmarajoara	1
Putative uncharacterized subgroup related toSaccharomyces cerevisiae CDC1 - signalP detected	1
putative uniprotkb/trembl	1
putative uniref50 a0a182ptf3 mutator family transposase n-1 tax-epiroticus taxid-199890	1
putative uniref50 a0a182q0i1 e3 ubiquitin-protein ligase n-20 tax-taxid-44484	1
putative uniref50 a0a182tgp1 transposase n-1 tax-melas	1
putative uniref50 a0a453yjp0 adenylate cyclase n-3 tax-cellia	1
putative uniref50 a0a6e8w578 reverse transcript	1
Putative UniRef50_A0A023EWC9 Putative thioredoxin/protein disulfide isomerase(Fragment) n=9 Tax=Endopterygota TaxID=33392 RepID=A0A023EWC9_AEDAL	1
Putative UniRef50_A0A084VQP5 Succinate dehydrogenase	1
Putative UniRef50_A0A0E4C764 Insulin receptor substrate 1 n=51 Tax=NeopteraTaxID=33340 RepID=A0A0E4C764_ANOGA	1
Putative UniRef50_A0A182HGV5 Small conductance calcium-activated potassiumchannel protein n=27 Tax=Anopheles TaxID=44484 RepID=A0A182HGV5_ANOAR	1
Putative UniRef50_A0A182HKH4 Moesin/ezrin/radixin homolog 1 n=60 Tax=EndopterygotaTaxID=33392 RepID=A0A182HKH4_ANOAR	1
Putative UniRef50_A0A182HN22 Mucin-5AC n=17 Tax=Anopheles TaxID=44484RepID=A0A182HN22_ANOAR	1
Putative UniRef50_A0A182HP87 Nuclear apoptosis-inducing factor 1 n=5 Tax=gambiaespecies complex TaxID=44542 RepID=A0A182HP87_ANOAR	1
Putative UniRef50_A0A182HQ49 Serine/threonine-protein kinase yakA n=18Tax=Cellia TaxID=44534 RepID=A0A182HQ49_ANOAR	1
Putative UniRef50_A0A182HSH6 Microtubule-associated protein futsch n=9Tax=Pyretophorus TaxID=44537 RepID=A0A182HSH6_ANOAR	1
Putative UniRef50_A0A182HT73 Microtubule-associated protein futsch n=6Tax=Cellia TaxID=44534 RepID=A0A182HT73_ANOAR	1
Putative UniRef50_A0A182I1F4 Peptidase S1 domain-containing protein n=32Tax=Culicidae TaxID=7157 RepID=A0A182I1F4_ANOAR	1
Putative UniRef50_A0A182I5X6 Integumentary mucin C.1-like n=7 Tax=gambiaespecies complex TaxID=44542 RepID=A0A182I5X6_ANOAR	1
Putative UniRef50_A0A182IBF4 Glycine-rich cell wall structural protein1 n=17 Tax=Anopheles TaxID=44484 RepID=A0A182IBF4_ANOAR	1
Putative UniRef50_A0A182J6J2 Non-specific serine/threonine protein kinasen=29 Tax=Anopheles TaxID=44484 RepID=A0A182J6J2_9DIPT	1
Putative UniRef50_A0A182JGI2 Serine/threonine-protein kinase n=4 Tax=AnophelesTaxID=44484 RepID=A0A182JGI2_9DIPT	1
Putative UniRef50_A0A182JUX1 Peptidase S1 domain-containing protein n=2Tax=Pyretophorus TaxID=44537 RepID=A0A182JUX1_9DIPT - signalP detected	1
Putative UniRef50_A0A182JXJ4 Pre-rRNA-processing protein TSR2 homologn=39 Tax=Anopheles TaxID=44484 RepID=A0A182JXJ4_9DIPT	1
Putative UniRef50_A0A182LRR7 Actin-binding protein anillin n=18 Tax=AnophelesTaxID=44484 RepID=A0A182LRR7_9DIPT	1
Putative UniRef50_A0A182LTX9 Serine/threonine-protein phosphatase 2A regulatorysubunit B'' subunit alpha n=9 Tax=Anopheles TaxID=44484 RepID=A0A182LTX9_9DIPT	1
Putative UniRef50_A0A182M4F7 Late endosomal/lysosomal adaptor and MAPKand MTOR activator 5 n=1 Tax=Anopheles culicifacies TaxID=139723 RepID=A0A182M4F7_9DIPT	1
Putative UniRef50_A0A182M4P9 Taste receptor type 2 n=4 Tax=Culicidae TaxID=7157RepID=A0A182M4P9_9DIPT	1
Putative UniRef50_A0A182M984 Calcium/calmodulin-dependent serine proteinkinase/membrane-associated guanylate kinase n=44 Tax=Neoptera TaxID=33340 RepID=A0A182M984_9DIPT	1
Putative UniRef50_A0A182MBV8 ML domain-containing protein n=19 Tax=AnophelesTaxID=44484 RepID=A0A182MBV8_9DIPT - signalP detected	1
Putative UniRef50_A0A182MSS6 Microphthalmia-associated transcription factora n=8 Tax=Cellia TaxID=44534 RepID=A0A182MSS6_9DIPT	1
Putative UniRef50_A0A182N0Y9 28S ribosomal protein S24 mitochondrialn=65 Tax=Endopterygota TaxID=33392 RepID=A0A182N0Y9_9DIPT	1
Putative UniRef50_A0A182NES9 RNA polymerase II subunit B1 CTD phosphataseRPAP2 homolog n=1 Tax=Anopheles dirus TaxID=7168 RepID=A0A182NES9_9DIPT	1
Putative UniRef50_A0A182NQD5 Pre-mRNA 3'-end-processing factor FIP1 n=1Tax=Anopheles dirus TaxID=7168 RepID=A0A182NQD5_9DIPT	1
Putative UniRef50_A0A182PHQ2 Epidermal growth factor-like protein 7 n=4Tax=Cellia TaxID=44534 RepID=A0A182PHQ2_9DIPT	1
Putative UniRef50_A0A182PTZ0 Vitellogenin domain-containing protein n=2Tax=Anopheles TaxID=44484 RepID=A0A182PTZ0_9DIPT - signalP detected	1
Putative UniRef50_A0A182PZU2 Protein kinase domain-containing proteinn=5 Tax=Culicidae TaxID=7157 RepID=A0A182PZU2_9DIPT	1
Putative UniRef50_A0A182QL35 Protein kinase domain-containing proteinn=26 Tax=Anopheles TaxID=44484 RepID=A0A182QL35_9DIPT	1
Putative UniRef50_A0A182QYD9 Transcription initiation factor TFIID subunit4 n=9 Tax=Cellia TaxID=44534 RepID=A0A182QYD9_9DIPT	1
Putative UniRef50_A0A182R0V0 Mucin-5AC n=1 Tax=Anopheles farauti TaxID=69004RepID=A0A182R0V0_9DIPT	1
Putative UniRef50_A0A182SWV7 Cell adhesion associated oncogene regulatedn=24 Tax=Culicidae TaxID=7157 RepID=A0A182SWV7_9DIPT	1
Putative UniRef50_A0A182T468 Zn-finger transcription factor n=7 Tax=EndopterygotaTaxID=33392 RepID=A0A182T468_9DIPT	1
Putative UniRef50_A0A182TA96 Sodium channel protein Nach n=36 Tax=CulicidaeTaxID=7157 RepID=A0A182TA96_9DIPT	1
Putative UniRef50_A0A182TCA5 Maintenance of mitochondrial morphology protein1 n=2 Tax=Culicidae TaxID=7157 RepID=A0A182TCA5_9DIPT - signalP detected	1
Putative UniRef50_A0A182TIB5 Voltage-dependent T-type calcium channelsubunit alpha-1G n=2 Tax=Culicidae TaxID=7157 RepID=A0A182TIB5_9DIPT	1
Putative UniRef50_A0A182TL02 Serine/threonine-protein kinase tousled-like2 n=1 Tax=Anopheles melas TaxID=34690 RepID=A0A182TL02_9DIPT	1
Putative UniRef50_A0A182TLQ4 Histone acetyltransferase n=3 Tax=CelliaTaxID=44534 RepID=A0A182TLQ4_9DIPT	1
Putative UniRef50_A0A182TS31 Mucin-19 n=1 Tax=Anopheles melas TaxID=34690RepID=A0A182TS31_9DIPT	1
Putative UniRef50_A0A182U7S6 Microtubule-associated protein bicaudal-dn=2 Tax=Cellia TaxID=44534 RepID=A0A182U7S6_9DIPT	1
Putative UniRef50_A0A182UDR3 Thyroid hormone receptor-associated proteincomplex subunit n=1 Tax=Anopheles melas TaxID=34690 RepID=A0A182UDR3_9DIPT	1
Putative UniRef50_A0A182VE22 Peptidase S1 domain-containing protein n=9Tax=Cellia TaxID=44534 RepID=A0A182VE22_ANOME - signalP detected	1
Putative UniRef50_A0A182XCM6 Spectrin beta chain non-erythrocytic 1 n=44Tax=Anopheles TaxID=44484 RepID=A0A182XCM6_ANOQN	1
Putative UniRef50_A0A182XER3 Translation initiation factor if-2 n=2 Tax=CelliaTaxID=44534 RepID=A0A182XER3_ANOQN - signalP detected	1
Putative UniRef50_A0A182XHZ9 Dynein light chain n=5 Tax=gambiae speciescomplex TaxID=44542 RepID=A0A182XHZ9_ANOQN	1
Putative UniRef50_A0A182XJ02 Transcriptional regulator n=9 Tax=PyretophorusTaxID=44537 RepID=A0A182XJ02_ANOQN	1
Putative UniRef50_A0A182XPT5 Protein kinase domain-containing proteinn=8 Tax=gambiae species complex TaxID=44542 RepID=A0A182XPT5_ANOQN - signalP detected	1
Putative UniRef50_A0A182XW03 Deubiquitinating enzyme A n=42 Tax=AnophelesTaxID=44484 RepID=A0A182XW03_ANOST	1
Putative UniRef50_A0A182YE26 Vacuolar protein sorting-associated proteinTDA6 n=2 Tax=Cellia TaxID=44534 RepID=A0A182YE26_ANOST - signalP detected	1
Putative UniRef50_A0A1S4H077 HECT-type E3 ubiquitin transferase n=18 Tax=AnophelesTaxID=44484 RepID=A0A1S4H077_ANOGA	1
Putative UniRef50_A0A1S4H5V8 Secreted mucin n=12 Tax=Cellia TaxID=44534RepID=A0A1S4H5V8_ANOGA - signalP detected	1
Putative UniRef50_A0A1S4H6W2 Cuticle protein n=5 Tax=Culicidae TaxID=7157RepID=A0A1S4H6W2_ANOGA - signalP detected	1
Putative UniRef50_A0A1S4HA87 Dolichyl-diphosphooligosaccharide--proteinglycosyltransferase subunit KCP2 n=1 Tax=Anopheles gambiae TaxID=7165 RepID=A0A1S4HA87_ANOGA - signalP detected	1
Putative UniRef50_A0A1S4HB50 Ecdysone receptor n=10 Tax=Anopheles TaxID=44484RepID=A0A1S4HB50_ANOGA	1
Putative UniRef50_A0A1S4HDM7 Voltage-dependent L-type calcium channelsubunit alpha n=13 Tax=Anopheles TaxID=44484 RepID=A0A1S4HDM7_ANOGA	1
Putative UniRef50_A0A1S4HDX5 Mucin-5AC-like n=17 Tax=Cellia TaxID=44534RepID=A0A1S4HDX5_ANOGA - signalP detected	1
Putative UniRef50_A0A1Y9J0E8 Calponin homology domain-containing proteinDDB_G0272472-like n=2 Tax=Anopheles quadriannulatus TaxID=34691 RepID=A0A1Y9J0E8_ANOQN	1
Putative UniRef50_A0A2C9GMD7 Pre-mRNA-splicing factor SYF2 n=15 Tax=CulicidaeTaxID=7157 RepID=A0A2C9GMD7_ANOAR	1
Putative UniRef50_A0A2C9GPF7 Protein kinase domain-containing proteinn=9 Tax=Nematocera TaxID=7148 RepID=A0A2C9GPF7_ANOAR	1
Putative UniRef50_A0A2C9GPW6 Thyroid hormone receptor-associated proteincomplex subunit n=21 Tax=Culicidae TaxID=7157 RepID=A0A2C9GPW6_ANOAR	1
Putative UniRef50_A0A2C9H3R9 Peptidase S1 domain-containing protein n=6Tax=gambiae species complex TaxID=44542 RepID=A0A2C9H3R9_ANOGA	1
Putative UniRef50_A0A2C9H3U7 Peptidase S1 domain-containing protein n=3Tax=gambiae species complex TaxID=44542 RepID=A0A2C9H3U7_ANOGA	1
Putative UniRef50_A0A2C9H3V4 Transmembrane protease serine 9-like n=8Tax=gambiae species complex TaxID=44542 RepID=A0A2C9H3V4_ANOGA	1
Putative UniRef50_A0A2M4ADU4 ATP synthase subunit 8 (Fragment) n=2 Tax=ArthropodaTaxID=6656 RepID=A0A2M4ADU4_9DIPT	1
Putative UniRef50_A0A2M4AE50 Putative cell wall protein awa1 (Fragment)n=1 Tax=Anopheles triannulatus TaxID=58253 RepID=A0A2M4AE50_9DIPT	1
Putative UniRef50_A0A2M4AJW8 Sulfatase domain-containing protein (Fragment)n=2 Tax=Culicidae TaxID=7157 RepID=A0A2M4AJW8_9DIPT	1
Putative UniRef50_A0A336MWZ5 Serine/threonine-protein phosphatase n=104Tax=Hexapoda TaxID=6960 RepID=A0A336MWZ5_CULSO	1
Putative UniRef50_A0A453YZB3 Chemokine vCXCL1 n=2 Tax=gambiae speciescomplex TaxID=44542 RepID=A0A453YZB3_ANOGA	1
Putative UniRef50_A0A453YZW1 Serine/threonine-protein kinase dyrk1 n=18Tax=Cellia TaxID=44534 RepID=A0A453YZW1_ANOGA	1
Putative UniRef50_A0A453Z0P2 Phosphatase and actin regulator 4 n=45 Tax=NeopteraTaxID=33340 RepID=A0A453Z0P2_ANOGA	1
Putative UniRef50_A0A4Y0BHD4 Neuropeptide-like 1 n=16 Tax=Anopheles TaxID=44484RepID=A0A4Y0BHD4_ANOFN - signalP detected	1
Putative UniRef50_A0A4Y0BIU5 Dolichyl-phosphate-mannose--protein mannosyltransferasen=15 Tax=Pancrustacea TaxID=197562 RepID=A0A4Y0BIU5_ANOFN	1
Putative UniRef50_A0A4Y0BMZ7 Serine/threonine-protein kinase n=3 Tax=MyzomyiaTaxID=59140 RepID=A0A4Y0BMZ7_ANOFN	1
Putative UniRef50_A0A4Y0BRA7 Mucin-5AC n=18 Tax=Anopheles TaxID=44484RepID=A0A4Y0BRA7_ANOFN	1
Putative UniRef50_A0A6E8V2Q6 Glutathione peroxidase n=2 Tax=gambiae speciescomplex TaxID=44542 RepID=A0A6E8V2Q6_ANOCL	1
Putative UniRef50_A0A6E8V3G8 Transcription elongation factor B polypeptide3 n=2 Tax=gambiae species complex TaxID=44542 RepID=A0A6E8V3G8_ANOCL	1
Putative UniRef50_A0A6E8W2F4 Peptidase S74 domain-containing protein n=3Tax=gambiae species complex TaxID=44542 RepID=A0A6E8W2F4_ANOCL	1
Putative UniRef50_A0A8D8KC22 Sodium channel protein 60E (Fragment) n=1Tax=Culex pipiens TaxID=7175 RepID=A0A8D8KC22_CULPI	1
Putative UniRef50_A1Z7S0 Receptor mediated endocytosis 8 isoform A n=791Tax=Bilateria TaxID=33213 RepID=A1Z7S0_DROME	1
Putative UniRef50_A7UU86 Oxoglutarate dehydrogenase (succinyl-transferring)n=1073 Tax=cellular organisms TaxID=131567 RepID=A7UU86_ANOGA	1
Putative UniRef50_B0W7E4 Pyr_redox_2 domain-containing protein n=46 Tax=DipteraTaxID=7147 RepID=B0W7E4_CULQU	1
Putative UniRef50_B0WTM5 Thioredoxin domain-containing protein n=31 Tax=CulicomorphaTaxID=43786 RepID=B0WTM5_CULQU	1
Putative UniRef50_F5HIY3 Sodium/potassium-transporting ATPase subunitbeta-1-interacting protein n=26 Tax=Culicidae TaxID=7157 RepID=F5HIY3_ANOGA	1
Putative UniRef50_Q9W543 Rabconnectin-3B isoform A n=1032 Tax=ArthropodaTaxID=6656 RepID=Q9W543_DROME	1
Putative UniRef50_U5EM24 Putative eukaryotic translation initiation factor4 gamma (Fragment) n=1 Tax=Corethrella appendiculata TaxID=1370023 RepID=U5EM24_9DIPT	1
Putative UniRef50_UPI001BE40996 nuclear transcription factor Y subunitbeta-like n=1 Tax=Anopheles merus TaxID=30066 RepID=UPI001BE40996	1
Putative UniRef50_UPI0020FF81C1 myosin-2 isoform X2 n=8 Tax=gambiae speciescomplex TaxID=44542 RepID=UPI0020FF81C1	1
Putative UniRef50_W5JBX6 DNA polymerase III subunit gamma/tau n=1 Tax=Anophelesdarlingi TaxID=43151 RepID=W5JBX6_ANODA	1
Putative uridine phosphorylases similar to a humanUPP1 and UPP2	1
Putative Vacuolar import and degradation protein	1
Putative Vacuolar membrane-associated protein Iml1	1
Putative Vav pleckstrin homology	1
Putative VHS	1
Putative WASP family protein EVH1 domain	1
Putative Wings apart-like protein regulation of heterochromatin	1
Putative Wnt domain found in protein Wnt-5a - signalP detected	1
Putative Wnt domain found in protein Wnt-6 and similarprotein - signalP detected	1
Putative Wnt-binding factor required for Wntsecretion	1
putative xenotropic and polytropic retrovirus receptor1 isoform x2 stephensi	1
Putative XP_001863479.2 galectin-6	1
Putative XP_019553874.2 potassium voltage-gated channel subfamily H member6 isoform X9	1
Putative XP_029722004.1 Down syndrome cell adhesion molecule-like proteinDscam2	1
Putative XP_029734964.1 ankyrin repeat domain-containing protein 11-likeisoform X1	1
Putative XP_029735994.1 LOW QUALITY PROTEIN: DNA N6-methyl adenine demethylase-lik	1
Putative XP_031638271.1 polyubiquitin-B isoform X2	1
Putative XP_034105842.1 polyubiquitin-C isoform X1	1
Putative XP_035772882.1 cell growth regulator with RING finger domainprotein 1-like - signalP detected	1
Putative XP_035773864.1 acetylcholine receptor subunit alpha-like 2	1
Putative XP_035774069.1 ketohexokinase-like	1
Putative XP_035777898.1 mediator of RNA polymerase II transcription subunit31-like isoform X2	1
Putative XP_035778148.1 calcium-activated potassium channel slowpoke isoformX4	1
Putative XP_035781466.1 CREB-regulated transcription coactivator 3-likeisoform X4	1
Putative XP_035782978.1 atrial natriuretic peptide receptor 2-like isoformX2	1
Putative XP_035788152.1 Down syndrome cell adhesion molecule-like proteinDscam2 isoform X11	1
Putative XP_035790235.1 potassium voltage-gated channel subfamily KQTmember 5-like isoform X12	1
Putative XP_035890447.1 serine/threonine-protein kinase ste20 isoformX2	1
Putative XP_035890502.1 CLIP domain-containing serine protease 14D-lik	1
Putative XP_035890575.1 SKI family transcriptional corepressor 1-likepartial	1
Putative XP_035890638.1 DNA polymerase zeta catalytic subunit isoformX1	1
Putative XP_035890661.1 proline dehydrogenase 1 mitochondrial isoformX1	1
Putative XP_035890710.1 transcription initiation factor TFIID subunit1 isoform X2	1
Putative XP_035890720.1 equilibrative nucleoside transporter 1 isoformX1	1
Putative XP_035890773.1 apoptosis-inducing factor 3 isoform X2	1
Putative XP_035890822.1 ubiquitin carboxyl-terminal hydrolase 20 isoformX1	1
Putative XP_035890857.1 neutral ceramidase - signalP detected	1
Putative XP_035890972.1 DNA repair protein RAD51 homolog 3-like isoformX1	1
Putative XP_035891090.1 phosphofurin acidic cluster sorting protein 2isoform X2	1
Putative XP_035891219.1 mitochondrial proton/calcium exchanger proteinisoform X1	1
Putative XP_035891234.1 mucin-5AC	1
Putative XP_035891245.1 histone-lysine N-methyltransferase H3 lysine-79specific-like isoform X1	1
Putative XP_035891376.1 progestin and adipoQ receptor family member 3isoform X2	1
Putative XP_035891403.1 nascent polypeptide-associated complex subunitalpha muscle-specific form isoform X1	1
Putative XP_035891430.1 ecotropic viral integration site 5 ortholog isoformX4	1
Putative XP_035891454.1 serine/threonine-protein phosphatase 2A 56 kDaregulatory subunit epsilon isoform	1
Putative XP_035891473.1 serine protease snake-like - signalP detected	1
Putative XP_035891487.1 serine protease snake-like	1
Putative XP_035891580.1 proton-coupled amino acid transporter-like proteinCG1139	1
Putative XP_035891639.1 synaptic vesicle glycoprotein 2B-like - signalP detected	1
Putative XP_035891664.1 collagen alpha chain CG42342 isoform X3	1
Putative XP_035891672.1 calcium uptake protein 2 mitochondrial isoformX1	1
Putative XP_035891716.1 polyhomeotic-proximal chromatin protein-like	1
Putative XP_035891729.1 dynactin subunit 1 isoform X5	1
Putative XP_035891731.1 endoplasmic reticulum chaperone BiP - signalP detected	1
Putative XP_035891736.1 putative sodium-dependent multivitamin transporte - signalP detected	1
Putative XP_035891788.1 interferon-related developmental regulator 2	1
Putative XP_035891790.1 muscle LIM protein Mlp84B isoform X2	1
Putative XP_035891810.1 sodium-independent sulfate anion transporter-likeisoform X1	1
Putative XP_035891900.1 protein kinase C brain isozyme-like isoform X	1
Putative XP_035891928.1 facilitated trehalose transporter Tret1 isoformX2	1
Putative XP_035891939.1 putative inorganic phosphate cotransporter isoformX1	1
Putative XP_035891947.1 carbohydrate sulfotransferase 11 - signalP detected	1
Putative XP_035891955.1 polypeptide N-acetylgalactosaminyltransferase16-like	1
Putative XP_035892148.1 sphingomyelin phosphodiesterase isoform X2 - signalP detected	1
Putative XP_035892271.1 protein phosphatase PP2A 55 kDa regulatory subunitisoform X1	1
Putative XP_035892306.1 pre-mRNA-splicing factor RBM22	1
Putative XP_035892333.1 sulfate transporter isoform X1	1
Putative XP_035892457.1 unconventional myosin-Ib	1
Putative XP_035892464.1 CCR4-NOT transcription complex subunit 6-likeisoform X1	1
Putative XP_035892524.1 plasma membrane calcium-transporting ATPase 2isoform X2	1
Putative XP_035892544.1 reversion-inducing cysteine-rich protein withKazal motifs - signalP detected	1
Putative XP_035892651.1 5'-3' exonuclease PLD3-like	1
Putative XP_035892654.1 probable G-protein coupled receptor Mth-like 1 - signalP detected	1
Putative XP_035892801.1 probable phospholipid-transporting ATPase IA isoformX14	1
Putative XP_035892828.1 solute carrier family 12 member 4 isoform X5	1
Putative XP_035892910.1 serine/threonine-protein kinase par-1 isoformX2	1
Putative XP_035892994.1 chitobiosyldiphosphodolichol beta-mannosyltransferas	1
Putative XP_035893008.1 serine proteinase stubble-like - signalP detected	1
Putative XP_035893036.1 tubulin-specific chaperone cofactor E-like protei	1
Putative XP_035893045.1 unconventional myosin-XVIIIa isoform X2	1
Putative XP_035893128.1 transcription factor GAGA-like	1
Putative XP_035893143.1 venom dipeptidyl peptidase 4 isoform X2	1
Putative XP_035893169.1 interferon regulatory factor 2-binding protein2-like	1
Putative XP_035893349.1 mucin-19	1
Putative XP_035893424.1 BAG family molecular chaperone regulator 2 isoformX1	1
Putative XP_035893435.1 ubiquitin carboxyl-terminal hydrolase 9	1
Putative XP_035893482.1 atypical protein kinase C isoform X7	1
Putative XP_035893526.1 Na(+)/H(+) exchange regulatory cofactor NHE-RF	1
Putative XP_035893537.1 sorting nexin-8-like	1
Putative XP_035893575.1 G protein-coupled receptor kinase 1 isoform X	1
Putative XP_035893603.1 putative transcription factor SOX-15	1
Putative XP_035893633.1 MAP/microtubule affinity-regulating kinase 3 isoformX13	1
Putative XP_035893671.1 melanization protease 1-like isoform X1 - signalP detected	1
Putative XP_035893704.1 probable citrate synthase 2 mitochondrial	1
Putative XP_035893716.1 glutamate--cysteine ligase regulatory subuni	1
Putative XP_035893745.1 serine/threonine-protein kinase Genghis Khan isoformX4	1
Putative XP_035893754.1 insulin-like growth factor 2 mRNA-binding protein1 isoform X3	1
Putative XP_035893826.1 mitochondrial 2-oxoglutarate/malate carrier protein-lik	1
Putative XP_035893993.1 diacylglycerol lipase-beta-like	1
Putative XP_035894028.1 sodium-dependent nutrient amino acid transporter1-like isoform X2	1
Putative XP_035894042.1 sodium-dependent nutrient amino acid transporter1-like	1
Putative XP_035894054.1 Y+L amino acid transporter 2	1
Putative XP_035894064.1 lysophosphatidylserine lipase ABHD12 isoform X	1
Putative XP_035894108.1 insulin-like growth factor-binding protein complexacid labile subunit - signalP detected	1
Putative XP_035894156.1 arrestin red cell isoform X3	1
Putative XP_035894253.1 actin cytoskeleton-regulatory complex proteinPAN1-like isoform X1 - signalP detected	1
Putative XP_035894307.1 vesicular glutamate transporter 3 isoform X2	1
Putative XP_035894337.1 transcription factor MafK isoform X1	1
Putative XP_035894435.1 serine/threonine-protein kinase minibrain	1
Putative XP_035894521.1 monocarboxylate transporter 14 isoform X3	1
Putative XP_035894644.1 cell division cycle 7-related protein kinase	1
Putative XP_035894697.1 sodium/potassium-transporting ATPase subunit alphaisoform X1	1
Putative XP_035894782.1 octopamine receptor beta-2R	1
Putative XP_035894798.1 chloride channel protein 2 isoform X5	1
Putative XP_035894830.1 lipid storage droplets surface-binding protein1 isoform X6	1
Putative XP_035894905.1 mucin-5AC-like isoform X2	1
Putative XP_035894906.1 myosin-7	1
Putative XP_035894912.1 transcription initiation factor IIA subunit	1
Putative XP_035894986.1 myosin light chain kinase smooth muscle-lik	1
